cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,220308,220341011,8,21,,,,,,,,,,,,
2015,220308,220341011,9,21,,,,,,,,,,,,
2015,220308,220341011,10,21,,,,,,,,,,,,
2015,220308,220341011,11,21,,,,,,,,,,,,
2015,220308,220341011,12,21,,,,,,,,,,,,
2015,220308,220342018,6,21,,,,,,,,,,,,
2015,220308,220342018,7,21,,,,,,,,,,,,
2015,220308,220342018,8,21,,,,,,,,,,,,
2015,220308,220342018,10,21,,,,,,,,,,,,
2015,220308,220342018,11,21,,,,,,,,,,,,
2015,220308,220342018,12,21,,,,,,,,,,,,
2015,310101,310142031,7,21,,,,,,,,,,,,
2015,310101,310142031,9,21,,,,,,,,,,,,
2015,310101,310142031,12,21,,,,,,,,,,,,
2015,310101,310143018,5,21,,,,,,,,,,,,
2015,310101,310143018,9,21,,,,,,,,,,,,
2015,310101,310143018,10,21,,,,,,,,,,,,
2015,310101,310143019,5,21,9,13,2,17,4,,69,139,5,92,10,
2015,310101,310143019,9,21,2,3,1,17,,,54,108,7,60,4,
2015,310234,310242042,5,21,,,,,,,,,,,,
2015,310234,310242042,6,21,,,,,,,,,,,,
2015,310234,310242042,8,21,,,,,,,,,,,,
2015,310234,310242042,11,21,,,,,,,,,,,,
2015,310315,310342030,7,21,,,,,,,,,,,,
2015,310315,310342030,12,21,,,,,,,,,,,,
2015,330115,330141019,4,21,,,,,,,,,,,,
2015,330115,330141019,5,21,,,,,,,,,,,,
2015,330115,330141019,6,21,,,,,,,,,,,,
2015,330115,330141019,8,21,,,,,,,,,,,,
2015,330115,330141019,9,21,,,,,,,,,,,,
2015,330115,330141019,10,21,,,,,,,,,,,,
2015,330307,330341003,5,21,,,,,,,,,,,,
2015,330307,330341003,6,21,,,,,,,,,,,,
2015,330307,330341003,7,21,,,,,,,,,,,,
2015,330307,330341003,8,21,,,,,,,,,,,,
2015,340108,340141014,7,21,,,,,,,,,,,,
2015,340108,340141014,8,21,,,,,,,,,,,,
2015,340108,340141014,9,21,,,,,,,,,,,,
